city,neighbourhood,property_type,accommodates,bedrooms,bathrooms,beds,review_score,reviews_count,superhost,amenity_count,cleaning_fee,month,price,suggested_price,price_delta,quality_index
New York,Queens,Entire home/apt,8,1,1,2,4.7,90,0,10,0.0,4,74.53,96.61823537255383,22.088235372553825,2.5500000000000003
London,Greenwich,Entire home/apt,3,1,1,2,5.0,34,0,7,5.0,2,62.34,92.24687921484812,29.906879214848118,2.64
New York,Manhattan,Entire home/apt,8,1,1,1,4.43,45,1,17,10.0,11,120.42,115.8433018074695,-4.5766981925305,2.6049999999999995
San Francisco,Nob Hill,Private room,2,1,1,1,4.66,115,0,12,1.0,7,93.1,71.57372103174605,-21.526278968253948,2.5700000000000003
San Francisco,Mission,Hotel room,7,1,1,1,4.88,121,0,9,36.0,9,145.39,97.73666666666664,-47.65333333333335,2.62
Tokyo,Asakusa,Entire home/apt,8,2,1,3,5.0,5,0,4,33.0,1,99.48,105.3408723903005,5.8608723903005,2.58
Mumbai,Andheri,Entire home/apt,6,2,1,2,5.0,114,0,16,22.0,2,61.51,59.357583333333345,-2.152416666666653,2.82
Tokyo,Shinjuku,Entire home/apt,7,1,1,2,4.94,88,0,14,26.0,4,128.64,128.53559685055157,-0.10440314944841589,2.75
Paris,Montmartre,Private room,1,2,1,3,5.0,44,0,15,14.0,4,57.04,65.30542435143326,8.26542435143326,2.8
Mumbai,Colaba,Entire home/apt,7,2,1,2,4.59,94,0,8,23.0,7,92.33,59.74975000000004,-32.58024999999996,2.455
Dubai,Jumeirah,Entire home/apt,8,1,1,1,4.82,104,0,13,19.0,6,136.01,115.26592044757747,-20.74407955242252,2.67
Dubai,Downtown,Entire home/apt,8,1,1,2,4.34,66,0,18,3.0,1,75.95,83.65207018331307,7.702070183313069,2.53
Sydney,Bondi,Shared room,7,1,1,2,4.68,28,0,18,24.0,7,66.42,68.25636843591168,1.8363684359116803,2.6999999999999997
Austin,South Congress,Entire home/apt,6,2,1,2,4.31,36,0,7,7.0,5,71.9,65.04450000000003,-6.855499999999978,2.295
London,Camden,Entire home/apt,9,2,1,3,4.42,117,1,15,12.0,9,129.16,119.51016990801273,-9.649830091987269,2.5599999999999996
Tokyo,Roppongi,Entire home/apt,3,1,2,2,4.32,22,0,12,29.0,2,104.64,117.75263226106038,13.112632261060384,2.4000000000000004
Tokyo,Roppongi,Entire home/apt,4,2,2,2,4.49,4,0,21,23.0,5,129.61,115.73738066240713,-13.87261933759288,2.665
Tokyo,Shibuya,Entire home/apt,6,1,1,1,4.65,61,0,11,23.0,11,107.0,113.23844479668567,6.23844479668567,2.5450000000000004
Dubai,Jumeirah,Private room,3,1,1,1,4.91,100,0,12,5.0,10,60.06,47.236235392001895,-12.823764607998108,2.6950000000000003
Sydney,CBD,Private room,3,1,1,2,4.6,33,0,9,21.0,3,69.98,58.47625487427417,-11.503745125725835,2.48
New York,Manhattan,Entire home/apt,5,2,1,2,4.89,129,0,9,37.0,9,184.59,148.57253877079523,-36.01746122920477,2.625
Paris,Le Marais,Entire home/apt,9,2,1,2,4.12,31,0,6,13.0,5,94.73,109.687767711619,14.957767711618999,2.18
Bengaluru,HSR Layout,Private room,5,1,2,1,5.0,119,0,9,20.0,3,33.92,33.65916666666668,-0.2608333333333235,2.68
London,Camden,Entire home/apt,8,2,1,3,4.54,22,0,12,11.0,7,105.05,105.99986556374802,0.9498655637480198,2.51
Austin,East Austin,Entire home/apt,7,2,1,2,5.0,138,0,24,30.0,1,99.73,103.78214999999997,4.052149999999969,2.98
San Francisco,SoMa,Private room,6,1,1,2,4.29,104,0,7,14.0,2,64.08,56.05668676052479,-8.023313239475208,2.285
Sydney,CBD,Private room,3,2,1,2,4.2,31,0,7,18.0,4,46.02,54.868409391909154,8.84840939190915,2.24
Sydney,CBD,Entire home/apt,4,3,1,3,4.23,67,0,13,28.0,5,126.65,124.9034384102763,-1.7465615897237114,2.375
Bengaluru,Koramangala,Entire home/apt,3,2,1,3,4.81,48,0,8,38.0,10,64.77,68.53999999999996,3.7699999999999676,2.565
Paris,1st Arr.,Private room,3,2,1,3,4.91,10,0,9,16.0,4,58.16,64.06830322425964,5.90830322425964,2.6350000000000002
New York,Bronx,Entire home/apt,7,2,1,3,4.66,28,0,9,28.0,5,88.28,121.07856698821912,32.79856698821912,2.5100000000000002
New York,Manhattan,Private room,2,1,1,2,4.85,81,0,9,3.0,9,47.97,52.446503334809215,4.476503334809216,2.605
New York,Bronx,Entire home/apt,3,1,1,1,4.46,70,0,15,13.0,4,80.82,96.06240327979,15.242403279790011,2.53
Dubai,Bur Dubai,Entire home/apt,6,2,1,2,4.76,91,0,7,28.0,6,92.0,101.79279325396827,9.79279325396827,2.52
Bengaluru,Whitefield,Private room,5,1,1,1,4.27,21,0,5,26.0,5,35.95,40.63283333333334,4.682833333333335,2.235
Dubai,Deira,Shared room,2,1,1,2,4.61,99,0,12,1.0,1,12.0,41.31409835887176,29.31409835887176,2.545
Dubai,Marina,Entire home/apt,9,2,1,2,4.48,45,0,11,5.0,5,75.68,87.96587387011765,12.28587387011764,2.4600000000000004
Bengaluru,HSR Layout,Entire home/apt,8,2,1,2,4.23,53,0,14,2.0,9,33.13,36.409833333333346,3.279833333333343,2.3950000000000005
Tokyo,Ginza,Shared room,5,1,1,1,4.01,8,0,13,16.0,12,53.33,54.298118460039355,0.9681184600393564,2.2649999999999997
Dubai,Deira,Entire home/apt,4,1,1,2,5.0,85,0,14,6.0,10,69.46,80.29793743275808,10.837937432758082,2.7800000000000002
Sydney,Bondi,Entire home/apt,4,1,1,2,4.37,55,0,21,20.0,9,112.62,110.47250519271986,-2.1474948072801396,2.605
Dubai,Deira,Entire home/apt,2,1,1,2,4.22,102,0,8,38.0,1,89.85,91.2963177218615,1.4463177218615044,2.27
Bengaluru,Koramangala,Entire home/apt,8,2,1,2,5.0,38,0,12,12.0,3,42.18,43.54275000000002,1.3627500000000197,2.74
Austin,Downtown,Entire home/apt,3,2,1,3,5.0,91,0,8,33.0,10,106.87,104.95679166666675,-1.9132083333332588,2.66
San Francisco,Nob Hill,Private room,7,1,1,1,4.62,23,0,6,35.0,9,83.41,76.50756669272553,-6.902433307274464,2.43
Austin,Zilker,Private room,7,1,1,1,4.49,19,0,15,0.0,11,36.81,35.27726057692306,-1.53273942307694,2.545
Tokyo,Shinjuku,Private room,3,1,1,1,5.0,14,0,18,4.0,1,48.34,56.39293524988834,8.052935249888336,2.86
Austin,Zilker,Entire home/apt,5,2,1,3,4.4,13,0,13,26.0,1,68.62,89.57930555555566,20.95930555555566,2.46
Tokyo,Shibuya,Entire home/apt,7,1,1,1,4.5,112,0,17,20.0,4,118.88,127.68044362973036,8.800443629730367,2.59
Tokyo,Shinjuku,Entire home/apt,4,1,1,1,4.96,41,0,3,25.0,1,92.25,103.35408201232778,11.10408201232778,2.54
Paris,Le Marais,Entire home/apt,5,2,1,2,4.22,27,0,12,29.0,7,144.52,133.86953652688007,-10.650463473119942,2.3499999999999996
Paris,Bastille,Entire home/apt,3,2,1,2,4.58,66,0,10,10.0,6,121.86,109.81493334894417,-12.045066651055834,2.49
Bengaluru,Koramangala,Entire home/apt,2,3,1,3,4.13,38,0,9,27.0,7,74.35,61.89683333333333,-12.453166666666661,2.245
New York,Staten Island,Private room,4,1,1,2,4.88,8,0,14,22.0,10,53.02,66.38173288131622,13.361732881316222,2.7199999999999998
Tokyo,Shinjuku,Entire home/apt,4,2,1,3,5.0,47,1,16,5.0,8,125.74,105.13805699456437,-20.60194300543563,2.8699999999999997
Mumbai,Andheri,Private room,6,1,1,1,5.0,61,0,11,39.0,11,59.26,54.825583333333434,-4.434416666666564,2.72
Tokyo,Asakusa,Entire home/apt,7,3,1,3,4.49,95,0,9,0.0,4,71.68,104.44850137667677,32.76850137667677,2.4250000000000003
London,Kensington,Private room,3,1,1,1,4.88,22,0,19,5.0,7,63.31,66.49277485964986,3.1827748596498537,2.82
Paris,Bastille,Entire home/apt,2,1,1,2,4.84,100,0,8,30.0,8,121.9,122.25400826253434,0.3540082625343359,2.58
Mumbai,Andheri,Entire home/apt,7,1,1,1,4.36,86,0,3,1.0,7,42.57,29.345416666666658,-13.224583333333342,2.24
Mumbai,Andheri,Shared room,7,1,1,2,4.37,104,1,19,6.0,1,24.31,22.84341666666665,-1.4665833333333502,2.6149999999999998
Bengaluru,Indiranagar,Entire home/apt,7,2,1,2,4.64,45,0,10,15.0,7,40.68,41.893958333333345,1.2139583333333448,2.52
Mumbai,Colaba,Private room,2,2,1,3,4.55,88,0,11,6.0,9,28.81,24.094249999999974,-4.715750000000025,2.495
Paris,Bastille,Entire home/apt,4,2,1,3,4.82,103,1,20,7.0,12,107.09,113.84871121680474,6.758711216804741,2.86
Mumbai,Andheri,Entire home/apt,2,2,1,3,5.0,33,0,14,21.0,3,52.18,52.468166666666654,0.2881666666666547,2.7800000000000002
Paris,Montmartre,Entire home/apt,3,2,1,3,4.71,0,0,12,14.0,2,83.91,90.34715970265702,6.437159702657027,2.5949999999999998
San Francisco,Mission,Entire home/apt,8,2,1,3,5.0,17,0,8,24.0,9,128.45,127.45459556964325,-0.9954044303567429,2.66
Dubai,Jumeirah,Entire home/apt,8,2,1,3,4.78,68,0,12,30.0,4,117.59,115.04293805475375,-2.5470619452462557,2.63
New York,Bronx,Entire home/apt,4,2,1,3,4.81,64,1,8,27.0,3,103.54,117.1476030455719,13.607603045571892,2.6149999999999998
New York,Bronx,Entire home/apt,3,2,1,3,5.0,53,1,15,35.0,3,106.76,127.56339543891404,20.803395438914038,2.8499999999999996
New York,Manhattan,Entire home/apt,8,3,1,4,4.12,48,1,4,18.0,6,149.71,137.87157358387813,-11.838426416121877,2.19
Paris,Latin Quarter,Private room,3,1,1,2,4.65,89,0,9,22.0,6,100.54,68.3925483635021,-32.147451636497905,2.5050000000000003
Mumbai,Andheri,Entire home/apt,8,2,1,2,4.33,89,1,4,21.0,7,33.59,52.36566666666671,18.77566666666671,2.295
London,Camden,Entire home/apt,6,3,1,4,4.71,53,0,17,9.0,8,127.53,111.16326532066783,-16.36673467933217,2.695
London,Hackney,Private room,4,1,1,1,4.73,74,0,12,14.0,11,48.12,59.150217515862614,11.030217515862617,2.6050000000000004
London,Camden,Entire home/apt,6,2,1,3,3.98,108,0,11,19.0,11,101.8,104.09097753596448,2.290977535964487,2.21
New York,Manhattan,Entire home/apt,7,2,1,3,4.56,32,0,7,16.0,6,149.57,128.68298911032593,-20.88701088967406,2.42
San Francisco,Sunset,Private room,3,2,1,2,4.86,20,0,5,16.0,8,55.21,63.52346310262057,8.313463102620567,2.5300000000000002
Bengaluru,MG Road,Private room,6,2,1,2,4.61,75,0,12,14.0,11,25.31,29.63949999999996,4.32949999999996,2.545
Sydney,Manly,Entire home/apt,8,3,2,4,4.44,155,0,17,20.0,10,139.38,133.69892753318467,-5.681072466815323,2.56
Austin,Hyde Park,Entire home/apt,8,2,1,3,4.44,73,0,11,26.0,1,77.9,92.85617708333338,14.956177083333372,2.4400000000000004
Tokyo,Roppongi,Private room,4,1,1,2,4.58,94,0,12,25.0,4,85.06,69.9030499525871,-15.156950047412906,2.5300000000000002
London,Camden,Entire home/apt,5,2,1,2,4.66,127,1,8,33.0,10,139.45,134.09568572899798,-5.354314271002011,2.54
San Francisco,Mission,Private room,2,2,2,3,4.75,77,1,15,13.0,2,65.17,63.20390329481377,-1.9660967051862315,2.7249999999999996
San Francisco,SoMa,Hotel room,2,2,1,3,4.62,49,0,8,28.0,3,117.72,111.30891666666665,-6.411083333333352,2.47
Sydney,Surry Hills,Entire home/apt,8,2,1,3,4.49,87,1,4,27.0,12,97.87,124.4584731085205,26.58847310852049,2.375
Dubai,Deira,Entire home/apt,8,1,1,1,4.34,45,1,8,36.0,9,98.07,96.27648686065139,-1.7935131393486046,2.38
Bengaluru,HSR Layout,Entire home/apt,5,3,1,4,5.0,7,0,9,34.0,12,63.67,64.73941666666666,1.0694166666666547,2.68
Tokyo,Shinjuku,Entire home/apt,5,2,1,3,4.78,81,0,12,25.0,5,123.05,124.5816484942974,1.5316484942974,2.63
Dubai,Downtown,Entire home/apt,6,2,1,2,4.21,142,0,12,24.0,4,118.8,113.12978659058243,-5.6702134094175705,2.3449999999999998
London,Kensington,Private room,7,1,1,1,4.95,85,0,12,15.0,11,82.21,74.69867881214405,-7.511321187855941,2.715
Mumbai,Bandra,Entire home/apt,3,1,1,2,4.76,26,0,15,24.0,9,65.9,51.36325,-14.536750000000005,2.6799999999999997
Dubai,Jumeirah,Entire home/apt,8,2,1,3,4.4,92,0,14,22.0,1,83.82,95.88236806932483,12.062368069324833,2.4800000000000004
San Francisco,Mission,Private room,1,1,1,1,4.8,40,0,4,24.0,7,58.21,71.28550860879413,13.07550860879413,2.48
Austin,East Austin,Entire home/apt,2,1,1,2,4.92,78,1,7,33.0,3,91.16,88.75846249999991,-2.4015375000000887,2.65
Mumbai,Andheri,Entire home/apt,8,2,1,3,5.0,37,0,14,38.0,10,73.87,70.84899999999993,-3.021000000000072,2.7800000000000002
Austin,Hyde Park,Private room,4,1,1,2,3.95,57,1,5,32.0,12,68.38,64.92812435925586,-3.4518756407441344,2.125
Austin,East Austin,Entire home/apt,4,2,1,2,4.36,100,0,9,28.0,6,91.73,94.18360416666656,2.453604166666551,2.3600000000000003
New York,Bronx,Private room,6,1,1,1,4.14,138,1,18,3.0,2,43.22,51.338903903245445,8.118903903245446,2.4799999999999995
Bengaluru,Whitefield,Entire home/apt,2,1,1,1,4.14,87,0,15,14.0,2,43.19,39.57733333333332,-3.6126666666666765,2.3699999999999997
Mumbai,Colaba,Entire home/apt,4,3,1,3,4.59,36,0,11,32.0,2,79.92,64.38841666666673,-15.531583333333273,2.515
Sydney,Surry Hills,Shared room,1,1,1,2,4.45,31,0,7,19.0,2,60.37,49.96316688429182,-10.406833115708174,2.365
Sydney,Manly,Entire home/apt,3,2,1,3,4.68,111,0,9,13.0,2,78.36,90.12269891042253,11.762698910422529,2.52
Tokyo,Shinjuku,Entire home/apt,3,2,1,3,4.87,104,0,12,4.0,11,95.38,101.75159111137889,6.371591111378891,2.675
Bengaluru,Koramangala,Private room,5,1,1,1,3.6,60,0,3,9.0,4,25.36,25.706249999999994,0.3462499999999942,1.86
Austin,South Congress,Private room,6,1,1,1,4.58,111,0,14,6.0,1,52.21,49.00630166043928,-3.2036983395607237,2.5700000000000003
New York,Queens,Private room,7,2,1,2,4.61,44,0,9,21.0,6,57.52,60.64589900937124,3.1258990093712384,2.4850000000000003
Tokyo,Asakusa,Private room,2,1,1,2,4.83,55,1,2,28.0,6,75.28,73.88018794561872,-1.399812054381286,2.505
Sydney,Manly,Private room,6,2,1,3,5.0,88,0,2,11.0,12,61.41,50.0151643871861,-11.3948356128139,2.54
Tokyo,Shinjuku,Entire home/apt,4,1,1,2,5.0,17,1,14,39.0,11,134.16,126.37589919712586,-7.784100802874136,2.83
Sydney,Surry Hills,Private room,2,2,1,2,5.0,51,0,9,34.0,3,72.55,80.73957303313448,8.18957303313448,2.68
Dubai,Deira,Private room,5,2,1,3,4.57,33,1,18,5.0,9,52.17,51.10680863813248,-1.0631913618675242,2.695
Tokyo,Shinjuku,Private room,4,1,1,1,4.27,42,1,13,18.0,4,60.51,59.285708937441264,-1.2242910625587342,2.4449999999999994
London,Westminster,Entire home/apt,8,2,1,2,5.0,45,1,10,24.0,2,146.02,125.15844708848378,-20.861552911516227,2.75
Bengaluru,Indiranagar,Private room,1,1,1,1,5.0,79,0,10,38.0,6,71.26,50.5014166666667,-20.758583333333306,2.7
Paris,Bastille,Entire home/apt,4,2,1,2,4.17,55,1,10,6.0,4,94.61,98.00398905009739,3.393989050097389,2.335
Mumbai,Andheri,Entire home/apt,4,2,1,2,4.85,1,0,13,20.0,12,46.46,49.941333333333326,3.4813333333333247,2.6849999999999996
Austin,East Austin,Private room,7,1,1,2,4.81,119,0,19,11.0,1,48.91,52.5960851031014,3.686085103101405,2.7849999999999997
Bengaluru,MG Road,Entire home/apt,6,1,1,1,4.41,47,1,19,14.0,3,32.56,34.305583333333296,1.7455833333332933,2.635
San Francisco,Sunset,Private room,6,1,1,1,4.79,10,0,14,18.0,8,63.45,67.64780157720428,4.197801577204274,2.675
Tokyo,Shinjuku,Entire home/apt,5,1,1,1,4.45,0,0,21,20.0,5,133.2,115.08023129649277,-18.11976870350722,2.645
Paris,Latin Quarter,Entire home/apt,9,2,1,3,5.0,86,1,10,8.0,6,138.1,114.31915536213616,-23.780844637863837,2.75
Sydney,CBD,Entire home/apt,6,3,1,4,3.88,70,0,25,20.0,12,128.71,128.1839820837808,-0.5260179162192173,2.44
Dubai,Deira,Private room,5,1,1,2,4.46,7,0,20,35.0,3,69.92,65.19543247590703,-4.724567524092976,2.63
Tokyo,Shinjuku,Entire home/apt,9,2,1,3,4.14,53,0,17,30.0,1,100.07,123.60759049890999,23.537590498909992,2.4099999999999997
Tokyo,Shinjuku,Entire home/apt,7,3,1,3,4.9,88,0,15,10.0,6,143.56,120.6696451317578,-22.8903548682422,2.75
Bengaluru,Koramangala,Hotel room,1,1,1,1,5.0,73,0,20,16.0,2,41.14,32.15949999999997,-8.980500000000028,2.9
San Francisco,Sunset,Entire home/apt,5,2,1,2,4.4,81,0,21,5.0,10,113.56,104.35998495370369,-9.200015046296315,2.62
San Francisco,Mission,Entire home/apt,7,2,1,3,4.56,8,1,17,16.0,9,125.67,117.95829338354991,-7.711706616450087,2.6699999999999995
Sydney,Newtown,Entire home/apt,8,1,1,1,4.2,96,0,3,11.0,6,90.53,105.14748550489466,14.61748550489466,2.16
Austin,Hyde Park,Entire home/apt,4,2,1,3,4.48,67,0,20,1.0,6,74.37,63.08589285714284,-11.284107142857167,2.64
Paris,Montmartre,Private room,6,1,1,2,3.56,31,0,20,19.0,1,56.62,68.15842048653174,11.538420486531741,2.18
San Francisco,Nob Hill,Entire home/apt,3,2,1,3,5.0,11,0,9,31.0,2,129.46,139.1925691881237,9.732569188123705,2.68
Sydney,CBD,Entire home/apt,2,2,1,3,4.69,70,0,16,7.0,5,82.9,88.83694024770396,5.936940247703959,2.665
London,Greenwich,Entire home/apt,2,2,1,2,4.71,43,1,12,32.0,6,130.76,126.54931445832592,-4.210685541674067,2.6449999999999996
Austin,Downtown,Entire home/apt,4,2,1,2,4.19,87,0,17,5.0,1,45.29,66.75433333333329,21.464333333333293,2.435
Austin,Downtown,Private room,3,1,1,1,4.35,18,0,4,1.0,2,28.14,35.999278657705545,7.859278657705545,2.255
Austin,Zilker,Entire home/apt,2,1,1,2,4.17,81,0,3,29.0,11,83.9,82.41058333333332,-1.4894166666666848,2.145
Bengaluru,HSR Layout,Hotel room,1,1,1,2,4.37,88,0,15,23.0,2,33.93,46.190916666666666,12.260916666666667,2.485
Bengaluru,MG Road,Shared room,3,1,1,2,4.5,81,1,15,17.0,11,18.41,35.006249999999994,16.596249999999994,2.5999999999999996
Dubai,Downtown,Private room,6,1,1,2,4.9,123,1,5,2.0,1,44.18,47.34415763346465,3.1641576334646473,2.6
London,Hackney,Entire home/apt,3,3,1,3,4.5,51,0,9,6.0,1,88.52,87.32423080043647,-1.1957691995635287,2.43
Dubai,Downtown,Entire home/apt,4,2,1,3,4.6,61,1,9,26.0,10,118.33,105.01137979604894,-13.318620203951056,2.53
London,Camden,Private room,2,1,1,1,5.0,14,0,14,17.0,5,61.57,62.486526979971366,0.9165269799713656,2.7800000000000002
Sydney,Manly,Entire home/apt,8,1,1,2,4.83,38,0,13,21.0,11,101.04,103.17031525589358,2.130315255893578,2.675
Paris,Montmartre,Entire home/apt,9,2,1,2,4.47,127,0,15,30.0,6,166.64,158.9493568495529,-7.690643150447073,2.5349999999999997
San Francisco,Mission,Entire home/apt,7,2,1,3,3.91,112,0,13,12.0,1,108.45,111.1375122579449,2.6875122579449027,2.215
Sydney,Surry Hills,Private room,5,1,1,2,5.0,47,0,10,27.0,5,81.23,77.31669667295242,-3.9133033270475863,2.7
London,Greenwich,Entire home/apt,5,3,1,3,5.0,90,1,12,21.0,2,117.63,124.78200235633412,7.152002356334123,2.79
Bengaluru,Whitefield,Entire home/apt,8,1,1,2,4.25,75,0,9,26.0,3,36.26,51.579083333333315,15.319083333333317,2.305
New York,Staten Island,Entire home/apt,8,1,1,2,4.47,26,1,9,13.0,3,72.13,84.702605659343,12.572605659343012,2.465
Bengaluru,MG Road,Entire home/apt,2,3,1,4,5.0,76,0,12,16.0,12,66.25,44.43275000000004,-21.81724999999996,2.74
Dubai,Marina,Private room,5,1,1,2,4.08,43,0,19,21.0,3,60.17,58.51520593363611,-1.6547940663638911,2.42
San Francisco,Nob Hill,Entire home/apt,3,2,1,2,4.86,102,0,9,24.0,9,171.94,135.76254603216267,-36.17745396783732,2.6100000000000003
Dubai,Marina,Entire home/apt,5,2,1,2,4.71,3,0,13,38.0,2,92.99,110.46065877250003,17.47065877250003,2.615
San Francisco,Mission,Entire home/apt,3,2,1,3,4.77,44,0,12,15.0,7,119.01,126.0556244182106,7.045624418210593,2.625
Sydney,Bondi,Entire home/apt,8,1,1,2,4.31,27,0,10,32.0,9,109.23,114.44882330132667,5.218823301326665,2.355
Tokyo,Ginza,Entire home/apt,4,1,2,1,5.0,93,0,18,20.0,11,134.49,124.2169774507525,-10.273022549247514,2.86
Mumbai,Colaba,Entire home/apt,7,1,1,2,4.96,28,0,15,17.0,10,56.2,51.30949999999998,-4.890500000000024,2.78
Dubai,Downtown,Entire home/apt,5,2,1,2,4.46,97,0,16,15.0,3,96.25,98.50407445539638,2.2540744553963776,2.55
Tokyo,Shibuya,Entire home/apt,8,3,1,3,4.64,106,0,11,20.0,3,119.92,129.44873053332873,9.528730533328726,2.54
Bengaluru,Indiranagar,Private room,2,1,1,2,4.51,11,0,5,12.0,7,20.23,23.34883333333335,3.118833333333349,2.355
Austin,South Congress,Entire home/apt,7,1,1,1,4.45,111,0,12,12.0,4,79.08,81.24249999999998,2.16249999999998,2.465
San Francisco,Mission,Entire home/apt,3,3,1,3,4.43,38,0,14,16.0,1,116.12,114.30858610354367,-1.8114138964563296,2.495
London,Hackney,Entire home/apt,4,1,1,1,4.58,77,1,13,31.0,8,113.37,119.32879441739645,5.958794417396447,2.5999999999999996
