city,neighbourhood,property_type,accommodates,bedrooms,bathrooms,beds,review_score,reviews_count,superhost,amenity_count,cleaning_fee,month,price
Tokyo,Ginza,Entire home/apt,5,1,2,1,5.0,1,0,14,11.0,3,116.41
San Francisco,SoMa,Entire home/apt,4,1,1,2,4.41,33,1,13,13.0,8,128.61
Bengaluru,Koramangala,Entire home/apt,8,1,1,1,4.97,48,0,20,35.0,7,89.6
Dubai,Downtown,Entire home/apt,6,2,1,2,5.0,9,1,8,27.0,9,99.53
London,Greenwich,Entire home/apt,6,2,1,3,4.96,69,0,10,1.0,9,89.17
London,Hackney,Shared room,1,1,1,1,5.0,90,0,21,33.0,9,62.38
San Francisco,Nob Hill,Hotel room,2,1,1,1,4.27,85,0,8,4.0,6,127.57
San Francisco,Mission,Private room,3,1,2,1,4.66,66,0,12,3.0,1,46.58
New York,Staten Island,Entire home/apt,9,1,1,2,4.72,15,0,10,30.0,9,97.48
Paris,Latin Quarter,Private room,6,2,1,2,4.5,115,1,12,24.0,5,78.36
New York,Staten Island,Entire home/apt,4,1,1,1,3.85,130,0,6,13.0,10,76.16
San Francisco,Nob Hill,Entire home/apt,6,2,1,3,4.03,66,0,17,20.0,7,142.15
Bengaluru,MG Road,Private room,4,1,1,1,4.34,48,0,7,26.0,12,32.19
Austin,East Austin,Entire home/apt,5,1,1,1,4.26,51,0,7,12.0,7,73.49
Tokyo,Roppongi,Private room,2,1,1,2,4.68,114,0,14,21.0,6,83.08
London,Westminster,Private room,2,1,1,2,4.86,49,0,3,3.0,2,51.63
Tokyo,Ginza,Private room,7,1,1,2,4.51,14,0,14,32.0,7,90.44
London,Hackney,Entire home/apt,8,1,1,1,4.4,5,0,13,34.0,7,121.73
London,Camden,Private room,6,2,1,2,4.71,38,0,10,39.0,5,89.26
New York,Manhattan,Entire home/apt,9,1,1,1,4.61,29,0,8,20.0,8,156.35
Mumbai,Andheri,Entire home/apt,7,2,1,3,4.84,137,0,8,35.0,5,68.02
Sydney,Surry Hills,Entire home/apt,7,3,1,4,5.0,11,1,6,4.0,4,82.04
Tokyo,Shinjuku,Private room,1,1,1,2,4.67,47,0,14,33.0,4,85.63
New York,Staten Island,Entire home/apt,3,1,1,1,3.96,80,0,22,5.0,3,55.32
Mumbai,Powai,Entire home/apt,6,2,1,2,4.63,56,0,14,13.0,9,52.59
London,Kensington,Entire home/apt,3,2,1,3,4.59,92,0,8,2.0,3,105.27
Sydney,Manly,Private room,5,1,1,2,4.78,62,0,12,17.0,12,47.07
Mumbai,Andheri,Entire home/apt,7,1,1,1,4.36,57,1,12,8.0,7,36.09
Austin,Hyde Park,Entire home/apt,2,1,1,1,4.46,66,0,4,35.0,12,92.04
Mumbai,Dadar,Entire home/apt,5,3,1,3,4.19,12,1,16,1.0,11,33.26
London,Hackney,Entire home/apt,3,1,1,1,4.25,58,0,17,25.0,4,99.75
San Francisco,Sunset,Entire home/apt,3,1,1,2,4.49,101,1,14,1.0,12,96.96
New York,Brooklyn,Private room,4,1,1,1,4.86,71,0,8,23.0,3,69.98
London,Westminster,Private room,7,1,1,1,4.88,109,1,2,30.0,4,92.72
Paris,Montmartre,Private room,4,1,1,1,5.0,88,0,15,1.0,2,60.98
Austin,Zilker,Entire home/apt,7,2,1,3,4.37,97,1,19,30.0,12,129.87
San Francisco,SoMa,Entire home/apt,9,1,1,2,3.99,17,0,10,20.0,3,110.89
Dubai,Marina,Private room,4,1,1,1,4.73,123,0,11,21.0,11,59.05
Sydney,Manly,Shared room,5,1,1,1,4.18,58,0,19,32.0,8,60.28
Austin,South Congress,Entire home/apt,8,2,1,2,4.54,100,0,18,4.0,3,78.9
New York,Queens,Entire home/apt,9,2,1,2,5.0,75,0,9,12.0,9,99.36
Paris,Le Marais,Entire home/apt,3,2,1,3,4.09,15,0,15,36.0,10,124.88
Paris,Latin Quarter,Entire home/apt,5,1,1,2,4.1,10,0,17,19.0,1,88.47
Bengaluru,MG Road,Private room,6,1,1,2,5.0,135,0,17,30.0,12,58.37
Austin,South Congress,Entire home/apt,7,2,1,3,4.93,87,0,6,32.0,2,90.11
Paris,Latin Quarter,Entire home/apt,4,2,1,3,4.24,134,0,10,5.0,12,121.89
Bengaluru,MG Road,Entire home/apt,2,2,1,2,4.42,90,0,13,34.0,10,64.13
Austin,Hyde Park,Entire home/apt,5,2,1,2,4.92,117,0,10,19.0,8,77.26
Sydney,Bondi,Shared room,2,1,1,1,4.91,32,1,6,24.0,6,35.01
Sydney,Newtown,Entire home/apt,5,2,2,2,3.75,95,0,13,14.0,7,101.14
London,Greenwich,Entire home/apt,9,2,1,3,4.31,84,0,13,11.0,9,106.63
Sydney,Manly,Entire home/apt,5,1,1,2,4.96,166,0,14,38.0,6,156.54
New York,Brooklyn,Entire home/apt,2,1,1,2,4.75,96,0,20,21.0,12,119.2
Tokyo,Ginza,Private room,3,1,1,1,3.85,58,1,19,21.0,8,84.35
Tokyo,Ginza,Private room,4,2,1,2,4.91,56,0,7,22.0,9,79.4
San Francisco,Marina,Entire home/apt,4,1,1,2,4.92,33,0,17,14.0,8,142.31
San Francisco,Sunset,Entire home/apt,7,1,1,1,4.88,49,0,24,7.0,5,110.5
London,Kensington,Entire home/apt,9,2,1,2,4.57,78,1,17,3.0,12,156.23
Mumbai,Andheri,Hotel room,7,1,1,1,5.0,68,1,12,27.0,9,50.69
Paris,Montmartre,Private room,4,1,1,1,4.14,103,0,12,29.0,10,78.46
London,Camden,Entire home/apt,7,1,2,2,4.37,21,0,18,21.0,1,115.2
London,Kensington,Private room,3,1,1,2,4.46,80,1,16,3.0,10,47.35
Sydney,Manly,Entire home/apt,4,1,1,2,4.85,86,0,14,26.0,7,124.25
San Francisco,Sunset,Entire home/apt,6,1,1,2,4.57,116,0,9,37.0,7,137.49
Mumbai,Andheri,Private room,6,1,1,1,4.95,142,0,22,13.0,8,40.18
Mumbai,Powai,Entire home/apt,9,1,1,2,4.04,91,0,16,15.0,1,59.89
Austin,East Austin,Entire home/apt,6,1,1,2,4.58,0,0,9,34.0,1,75.35
San Francisco,SoMa,Private room,5,1,1,2,5.0,45,0,11,39.0,5,111.94
Austin,Downtown,Entire home/apt,6,3,1,4,4.51,26,0,14,33.0,11,101.02
Bengaluru,Indiranagar,Hotel room,2,1,1,2,4.53,72,0,4,34.0,8,34.54
Austin,Zilker,Entire home/apt,9,2,2,2,4.98,36,0,2,8.0,8,81.78
London,Westminster,Entire home/apt,9,2,1,2,4.59,103,0,8,18.0,12,140.07
Tokyo,Roppongi,Private room,5,1,1,1,4.84,76,0,16,19.0,2,73.53
San Francisco,SoMa,Entire home/apt,8,1,1,1,5.0,40,0,10,38.0,2,131.17
Sydney,Newtown,Entire home/apt,4,2,2,2,4.67,90,1,8,1.0,6,91.27
Austin,East Austin,Entire home/apt,2,2,2,2,5.0,40,0,12,30.0,9,78.85
Bengaluru,HSR Layout,Private room,5,1,2,1,4.63,27,1,4,31.0,3,48.35
Austin,Downtown,Private room,7,1,1,2,4.22,43,0,7,28.0,10,56.63
San Francisco,Nob Hill,Entire home/apt,8,2,1,2,5.0,64,0,7,4.0,8,150.26
Tokyo,Asakusa,Entire home/apt,6,1,1,2,4.55,89,0,7,29.0,10,102.09
London,Hackney,Private room,2,1,1,2,5.0,74,1,4,21.0,4,46.27
London,Westminster,Entire home/apt,6,3,1,3,4.45,100,1,7,20.0,12,162.87
London,Greenwich,Hotel room,3,1,1,1,5.0,23,0,13,23.0,10,102.27
Austin,Hyde Park,Entire home/apt,9,2,1,3,5.0,122,0,9,10.0,7,83.78
London,Greenwich,Private room,1,1,1,2,4.68,46,0,11,10.0,1,25.54
Tokyo,Asakusa,Entire home/apt,4,2,1,2,5.0,46,0,14,8.0,8,106.3
Paris,1st Arr.,Entire home/apt,2,1,1,1,4.55,100,0,15,15.0,2,107.64
Mumbai,Andheri,Private room,3,1,1,2,4.98,79,0,13,29.0,3,60.44
Austin,East Austin,Entire home/apt,2,2,1,2,4.38,77,0,15,0.0,4,67.64
Austin,Downtown,Entire home/apt,3,2,1,3,5.0,91,0,8,33.0,10,106.87
Mumbai,Bandra,Entire home/apt,3,1,1,2,4.5,101,0,9,28.0,7,57.91
London,Westminster,Private room,1,1,1,1,3.54,67,0,8,31.0,2,74.45
San Francisco,Sunset,Private room,5,1,1,1,4.36,122,0,7,14.0,9,70.02
New York,Brooklyn,Entire home/apt,3,2,1,2,4.26,157,0,12,33.0,12,135.08
Paris,Montmartre,Private room,5,1,1,2,4.58,139,0,19,9.0,7,86.0
London,Hackney,Private room,5,1,1,2,4.54,9,0,2,34.0,2,64.79
Austin,Zilker,Entire home/apt,8,1,1,1,5.0,35,0,13,21.0,1,82.19
Paris,Bastille,Private room,5,1,1,1,4.73,36,1,12,0.0,4,42.25
London,Kensington,Entire home/apt,6,1,1,1,4.22,91,1,14,13.0,10,128.66
Austin,Downtown,Entire home/apt,5,2,1,2,5.0,37,0,7,27.0,10,86.37
Mumbai,Andheri,Entire home/apt,8,2,1,3,3.94,30,0,7,11.0,11,41.23
London,Greenwich,Entire home/apt,8,2,2,3,4.83,87,0,3,2.0,9,87.67
San Francisco,Marina,Entire home/apt,8,2,1,3,4.79,62,0,5,6.0,10,111.01
Sydney,Surry Hills,Entire home/apt,4,1,1,1,4.92,62,0,17,37.0,8,135.27
Mumbai,Colaba,Entire home/apt,7,1,1,2,4.96,28,0,15,17.0,10,56.2
Austin,Hyde Park,Entire home/apt,9,2,1,3,4.33,72,0,2,25.0,9,77.2
London,Kensington,Entire home/apt,8,2,1,3,4.31,112,0,14,33.0,7,172.98
Tokyo,Ginza,Entire home/apt,8,2,1,2,4.68,11,0,10,9.0,4,110.21
London,Greenwich,Entire home/apt,3,1,1,1,4.44,70,0,11,12.0,10,84.55
Paris,Montmartre,Entire home/apt,3,1,1,2,4.57,33,0,18,17.0,4,83.9
New York,Brooklyn,Entire home/apt,3,1,1,1,4.75,25,0,20,20.0,3,99.54
Dubai,Bur Dubai,Private room,4,2,1,3,4.53,96,1,10,28.0,8,34.77
Sydney,Bondi,Entire home/apt,7,2,1,2,4.37,108,1,2,22.0,5,129.72
London,Westminster,Private room,5,1,1,1,4.3,85,0,11,21.0,4,77.2
Mumbai,Powai,Private room,7,2,1,3,4.23,12,0,9,35.0,7,57.6
Tokyo,Roppongi,Private room,1,1,1,2,4.31,80,1,14,9.0,6,65.55
Sydney,Bondi,Entire home/apt,8,2,1,3,4.85,98,0,11,1.0,8,124.96
Bengaluru,Indiranagar,Entire home/apt,8,2,1,3,4.53,57,0,10,19.0,4,46.1
London,Westminster,Private room,4,1,2,2,3.76,57,0,15,17.0,1,74.5
Austin,South Congress,Private room,6,1,1,1,5.0,60,0,2,4.0,11,46.76
Mumbai,Andheri,Entire home/apt,4,1,1,2,4.8,100,0,16,36.0,8,63.99
Bengaluru,Whitefield,Entire home/apt,3,2,1,3,4.17,42,0,11,27.0,5,59.41
Mumbai,Colaba,Entire home/apt,7,2,1,3,4.45,53,0,12,6.0,7,55.27
Bengaluru,MG Road,Entire home/apt,9,2,1,3,4.52,23,0,8,26.0,1,69.32
Bengaluru,Koramangala,Entire home/apt,3,1,1,2,5.0,79,0,6,37.0,4,68.11
Sydney,Bondi,Entire home/apt,4,3,1,4,5.0,98,0,3,31.0,6,161.16
Sydney,Newtown,Entire home/apt,5,2,1,2,4.52,71,0,17,27.0,1,105.72
New York,Manhattan,Entire home/apt,2,2,1,3,4.87,118,0,15,9.0,2,116.71
Mumbai,Powai,Entire home/apt,4,2,1,2,5.0,115,0,16,39.0,7,71.64
New York,Bronx,Private room,7,1,1,2,4.28,26,0,20,32.0,11,64.6
San Francisco,Mission,Entire home/apt,3,2,1,2,4.92,32,0,3,26.0,8,128.0
Austin,Downtown,Private room,1,1,1,1,4.32,4,1,17,20.0,2,54.33
Dubai,Deira,Entire home/apt,7,1,1,2,4.73,40,0,19,12.0,4,73.78
Mumbai,Dadar,Entire home/apt,4,2,1,2,4.94,19,0,15,20.0,5,46.16
New York,Staten Island,Entire home/apt,3,2,1,3,5.0,50,0,11,22.0,9,99.27
London,Camden,Private room,4,1,1,2,4.2,5,0,10,34.0,7,72.59
Mumbai,Dadar,Entire home/apt,3,1,1,2,4.46,123,0,14,12.0,4,29.08
Bengaluru,MG Road,Entire home/apt,3,3,1,4,4.5,76,0,10,8.0,10,37.8
Bengaluru,Whitefield,Entire home/apt,7,2,2,2,4.79,74,0,19,28.0,2,51.54
San Francisco,SoMa,Entire home/apt,3,2,2,2,4.29,43,0,9,2.0,7,114.17
Dubai,Bur Dubai,Entire home/apt,2,2,1,2,4.51,74,0,13,8.0,8,85.39
Tokyo,Shinjuku,Private room,6,1,1,1,4.69,12,0,10,14.0,3,70.07
London,Westminster,Entire home/apt,9,1,1,2,4.39,68,0,10,28.0,11,143.73
Dubai,Jumeirah,Entire home/apt,4,1,1,1,4.29,118,0,11,31.0,11,97.05
San Francisco,SoMa,Private room,1,1,1,1,4.02,132,0,2,31.0,10,85.8
Paris,Bastille,Entire home/apt,4,3,1,3,4.17,112,0,9,30.0,3,111.17
London,Greenwich,Private room,2,2,1,3,4.34,8,0,18,39.0,11,61.2
San Francisco,Sunset,Entire home/apt,3,1,1,1,4.24,69,0,14,37.0,9,117.37
Austin,Hyde Park,Shared room,1,2,1,2,4.25,88,0,16,14.0,4,20.14
Bengaluru,HSR Layout,Hotel room,2,1,1,2,4.53,0,0,16,14.0,5,34.53
Tokyo,Shinjuku,Private room,6,1,1,1,5.0,31,0,15,37.0,11,91.17
Paris,Bastille,Private room,7,1,1,1,4.57,39,0,11,10.0,12,58.89
London,Camden,Entire home/apt,2,2,1,2,4.56,86,0,8,28.0,3,108.17
San Francisco,Nob Hill,Private room,1,1,1,2,4.08,4,0,9,20.0,12,95.64
San Francisco,SoMa,Entire home/apt,3,2,1,2,4.93,45,0,13,22.0,9,147.45
Sydney,Surry Hills,Entire home/apt,7,2,1,3,4.13,44,0,5,13.0,2,98.5
Paris,1st Arr.,Private room,7,1,1,2,4.26,182,0,13,37.0,2,83.18
Paris,Montmartre,Entire home/apt,9,2,1,3,4.57,41,0,16,15.0,11,110.89
Bengaluru,Whitefield,Entire home/apt,8,1,1,1,4.91,34,1,13,7.0,5,36.37
Paris,Bastille,Entire home/apt,8,3,1,4,4.37,52,0,11,37.0,8,131.34
Dubai,Bur Dubai,Entire home/apt,5,2,1,3,4.46,40,0,9,35.0,4,104.99
London,Greenwich,Entire home/apt,8,2,1,3,4.68,17,0,13,22.0,1,86.76
New York,Brooklyn,Entire home/apt,2,1,1,2,5.0,47,0,17,14.0,10,112.58
Bengaluru,Indiranagar,Private room,1,1,2,1,3.44,1,1,16,17.0,7,28.92
Bengaluru,Indiranagar,Entire home/apt,9,2,1,2,4.62,113,0,17,3.0,12,45.33
Bengaluru,MG Road,Shared room,3,1,1,2,4.68,51,0,16,31.0,6,40.85
Tokyo,Shinjuku,Entire home/apt,7,3,1,3,4.49,89,0,2,24.0,9,134.34
London,Greenwich,Private room,5,2,2,2,5.0,87,0,2,16.0,8,65.21
Dubai,Jumeirah,Entire home/apt,6,2,1,2,4.7,52,0,19,15.0,7,114.84
San Francisco,SoMa,Private room,6,2,1,2,5.0,90,0,5,14.0,9,88.14
Paris,Bastille,Entire home/apt,8,1,1,1,5.0,51,0,11,8.0,12,102.66
New York,Manhattan,Private room,1,2,1,3,5.0,35,0,8,28.0,5,99.52
London,Camden,Private room,6,2,1,2,4.01,33,0,18,5.0,3,68.79
Tokyo,Shibuya,Entire home/apt,7,1,1,1,4.4,20,0,2,18.0,10,104.35
Austin,South Congress,Entire home/apt,5,1,1,2,4.72,61,1,5,26.0,9,84.11
Tokyo,Roppongi,Entire home/apt,2,2,1,3,4.9,66,1,7,33.0,7,160.69
San Francisco,Sunset,Private room,7,1,1,2,4.42,40,0,18,21.0,5,68.01
New York,Staten Island,Entire home/apt,8,2,1,3,4.64,19,1,18,3.0,11,61.98
San Francisco,Nob Hill,Entire home/apt,7,3,1,4,4.02,21,0,14,4.0,10,130.22
London,Kensington,Entire home/apt,6,1,1,1,5.0,84,0,14,11.0,7,163.8
Dubai,Bur Dubai,Private room,5,1,1,1,4.07,65,1,6,20.0,1,47.91
Mumbai,Dadar,Entire home/apt,9,3,1,3,4.19,67,1,15,34.0,8,66.8
Mumbai,Dadar,Private room,1,1,1,2,4.72,138,0,2,5.0,11,12.0
San Francisco,SoMa,Hotel room,1,1,1,2,4.63,4,0,12,34.0,3,110.6
Paris,Le Marais,Entire home/apt,9,2,1,2,4.12,31,0,6,13.0,5,94.73
Paris,Latin Quarter,Entire home/apt,9,2,1,3,5.0,66,0,7,1.0,8,112.76
Bengaluru,Whitefield,Shared room,7,2,1,2,4.5,36,0,9,33.0,11,54.81
Bengaluru,Koramangala,Private room,5,1,1,1,3.6,60,0,3,9.0,4,25.36
Mumbai,Andheri,Entire home/apt,8,3,1,3,4.69,72,0,10,10.0,11,29.43
Dubai,Deira,Entire home/apt,5,3,1,3,4.26,35,0,11,22.0,9,92.89
San Francisco,SoMa,Entire home/apt,3,1,1,1,4.4,51,0,6,1.0,12,96.25
Sydney,Newtown,Entire home/apt,4,2,1,2,4.63,43,0,8,11.0,12,95.1
Paris,Le Marais,Hotel room,2,2,1,2,4.4,75,0,6,16.0,8,108.95
Paris,Bastille,Private room,2,1,1,1,4.1,94,0,18,36.0,3,66.95
Paris,Latin Quarter,Private room,3,1,1,1,4.39,78,0,7,21.0,2,49.38
London,Hackney,Private room,3,1,1,2,4.16,16,0,13,14.0,9,44.77
Paris,Latin Quarter,Private room,2,1,1,2,4.31,62,0,13,3.0,3,18.76
Dubai,Jumeirah,Private room,1,3,1,3,5.0,35,0,2,16.0,7,54.02
London,Westminster,Entire home/apt,4,3,1,4,4.02,66,0,4,27.0,5,136.56
Dubai,Downtown,Private room,4,1,1,2,4.84,57,0,18,36.0,6,103.01
Mumbai,Bandra,Entire home/apt,4,2,1,3,4.45,21,0,11,19.0,7,52.16
San Francisco,Sunset,Entire home/apt,5,1,1,1,4.45,110,1,6,38.0,8,135.32
London,Hackney,Entire home/apt,3,2,1,3,4.23,48,0,13,15.0,4,73.59
Tokyo,Shinjuku,Private room,5,1,1,1,4.89,27,0,10,13.0,7,74.59
Mumbai,Colaba,Private room,5,1,1,1,4.33,71,0,16,14.0,11,39.54
New York,Queens,Entire home/apt,2,1,1,2,5.0,65,1,15,5.0,9,119.97
Mumbai,Dadar,Private room,4,1,1,1,4.38,48,0,11,28.0,6,45.18
Dubai,Deira,Entire home/apt,7,1,1,1,4.31,5,0,6,32.0,3,89.17
Austin,Zilker,Private room,4,1,1,1,4.6,103,0,6,21.0,12,60.79
Paris,Bastille,Entire home/apt,7,1,1,2,5.0,34,0,12,30.0,7,122.58
Dubai,Jumeirah,Entire home/apt,7,1,1,2,4.31,16,0,19,6.0,11,80.95
Bengaluru,Indiranagar,Entire home/apt,5,2,2,2,4.62,87,0,9,3.0,11,41.98
New York,Brooklyn,Private room,3,2,1,2,4.68,20,1,9,18.0,1,57.28
